company_name,stand_number,ai-start,ai-data-mess,mtd-volume,mtd-clients,margin,hiring,retention,burnout,docs,chasing,defensible-files,aml,disconnected,ai-roi,advisory,advisory-charge,winning,ai-team,cyber,penalties,frs102,portal,ai-govern,ai-skills,onboarding,month-end,bankfeeds,cpd,career,leadership,cashflow,pe,exit,outsource,niche,cross-border,rd,top_tags
DNS NEXUS,1010,0.00,0.00,0.30,0.00,0.60,0.60,0.30,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.30,0.30,0.00,0.30,0.60,0.00,0.00,0.00,margin(0.60)|hiring(0.60)|outsource(0.60)
Doc2,480,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.80,0.70,0.80,1.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,aml(1.00)|docs(0.80)|defensible-files(0.80)
Docusoft,920,0.30,0.80,0.40,0.30,0.20,0.00,0.00,0.50,1.00,0.70,0.80,0.40,0.60,0.20,0.30,0.50,0.50,0.20,0.30,0.00,0.00,0.60,0.20,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,docs(1.00)|ai-data-mess(0.80)|defensible-files(0.80)
Doshi Outsourcing,1165,0.00,0.00,0.60,0.00,0.70,0.80,0.60,0.80,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|hiring(0.80)|burnout(0.80)
Draftworx,590,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.80,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,docs(0.80)|defensible-files(0.70)|frs102(0.60)
Dunner,501N,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.30,0.00,1.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,chasing(1.00)|cashflow(0.80)|margin(0.60)
EAGL,501J,0.30,0.60,0.00,0.00,0.60,0.00,0.30,0.60,0.30,0.00,0.60,0.00,0.30,0.80,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,1.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,month-end(1.00)|ai-roi(0.80)|ai-data-mess(0.60)
EazyCapture,501C,0.60,0.80,0.30,0.60,0.40,0.20,0.30,0.70,0.80,0.40,0.70,0.00,0.80,0.50,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.50,0.20,0.00,0.20,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ai-data-mess(0.80)|docs(0.80)|disconnected(0.80)
Edge of Difference,1802,0.00,0.00,0.00,0.00,0.00,0.60,0.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,retention(0.80)|leadership(0.80)|hiring(0.60)
Employment Hero,834,0.30,0.00,0.60,0.00,0.60,0.00,0.00,0.50,0.00,0.00,0.30,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.60)|margin(0.60)|disconnected(0.60)
Engager by TaxCalc,750,0.00,0.30,0.20,0.00,0.30,0.00,0.00,0.20,0.80,0.40,0.60,0.00,0.60,0.00,0.30,0.20,0.10,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.50,0.20,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,docs(0.80)|defensible-files(0.60)|disconnected(0.60)
FD Intelligence,1611,0.60,0.30,0.80,0.00,0.70,0.30,0.30,0.60,0.00,0.00,0.00,0.00,0.30,1.00,0.00,0.00,0.00,0.40,0.00,0.60,0.00,0.00,0.30,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.40,ai-roi(1.00)|mtd-volume(0.80)|margin(0.70)
FigsFlow,1310,0.60,0.30,0.40,0.30,0.70,0.00,0.00,0.50,0.40,0.70,0.60,1.00,0.30,0.40,0.00,0.70,0.70,0.30,0.00,0.20,0.00,0.50,0.20,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,aml(1.00)|onboarding(1.00)|margin(0.70)
Findity,1560,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.30,0.60,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.40,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,chasing(0.60)|portal(0.40)|ai-start(0.30)
Firmcheck,1931,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.60,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,aml(1.00)|onboarding(0.80)|defensible-files(0.60)
First Corporate Law Services,740,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.30,0.00,outsource(0.90)|burnout(0.70)|onboarding(0.60)
First Intuition,1941,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,1.00,0.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cpd(1.00)|career(0.80)|ai-skills(0.60)
Flagstone,364,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,cashflow(1.00)|month-end(0.60)|margin(0.30)
FreeAgent,180,0.00,0.00,0.80,0.30,0.00,0.00,0.00,0.30,0.20,0.60,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.60,0.00,0.00,0.30,0.00,0.70,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.80)|bankfeeds(0.70)|chasing(0.60)
FuseSign,845,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.60,0.80,0.80,0.60,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,docs(0.80)|chasing(0.80)|burnout(0.60)
FYI,844,0.00,0.70,0.30,0.20,0.00,0.00,0.00,0.40,1.00,0.50,0.70,0.20,0.60,0.00,0.00,0.00,0.00,0.00,0.20,0.30,0.00,0.60,0.00,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,docs(1.00)|ai-data-mess(0.70)|defensible-files(0.70)
Garfield AI,1374,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.30,0.00,0.80,0.60,0.00,0.00,0.60,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,chasing(0.80)|cashflow(0.80)|margin(0.60)
Generational Planning Group,1545,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
GI Outsourcing,1530,0.00,0.00,0.60,0.30,0.70,0.80,0.60,0.80,0.00,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.40,0.30,0.00,0.00,0.00,0.40,0.60,0.30,0.00,0.00,0.00,0.40,0.00,0.00,1.00,0.00,0.30,0.00,outsource(1.00)|hiring(0.80)|burnout(0.80)
Glide - Workflow and Resource management,1744,0.00,0.00,0.60,0.00,0.60,0.00,0.00,0.30,0.00,0.80,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.60,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,chasing(0.80)|mtd-volume(0.60)|margin(0.60)
GoCardless,910,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.30,0.00,0.80,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.60,0.00,cashflow(1.00)|chasing(0.80)|margin(0.60)
Hammock,1514,0.00,0.00,1.00,0.80,0.30,0.00,0.00,0.60,0.60,0.80,0.70,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.70,0.00,0.60,0.00,0.00,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(1.00)|mtd-clients(0.80)|chasing(0.80)
Hammock,483,0.00,0.00,0.80,0.60,0.00,0.00,0.00,0.30,0.60,0.80,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.80)|chasing(0.80)|mtd-clients(0.60)
HDUK,1761,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,0.00,0.30,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cyber(1.00)|defensible-files(0.60)|burnout(0.30)
Hello AI Collective Limited,1650,0.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.80,0.00,0.00,0.00,0.80,0.30,0.00,0.00,0.00,0.80,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ai-start(0.80)|ai-roi(0.80)|ai-team(0.80)
HMRC,990,0.00,0.00,1.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,mtd-volume(1.00)|penalties(0.80)|portal(0.60)
Home of Mortgages,1510,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,cashflow(0.60)|margin(0.30)|advisory(0.30)
Hoxton Mix,571,0.30,0.60,0.00,0.00,0.30,0.00,0.00,0.30,0.80,0.30,0.60,0.00,0.30,0.30,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,docs(0.80)|ai-data-mess(0.60)|defensible-files(0.60)
Husu,501E,0.00,0.00,0.00,0.00,0.30,0.00,0.80,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,burnout(1.00)|retention(0.80)|leadership(0.60)
ICB,394,0.00,0.00,0.00,0.20,0.00,0.40,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.80,0.70,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cpd(0.80)|career(0.70)|hiring(0.40)
iFAST Global Bank,470,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.20,0.00,0.00,0.00,0.10,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.20,0.30,0.40,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.80,0.00,cross-border(0.80)|cashflow(0.60)|bankfeeds(0.40)
Ignition,840,0.00,0.00,0.30,0.00,0.80,0.00,0.00,0.30,0.80,0.80,0.60,0.00,0.60,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,margin(0.80)|docs(0.80)|chasing(0.80)
Inflo,1464,0.30,0.60,0.00,0.00,0.40,0.00,0.00,0.50,0.70,0.60,0.80,0.00,0.30,0.60,0.00,0.00,0.00,0.30,0.20,0.00,0.30,0.50,0.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,defensible-files(0.80)|docs(0.70)|ai-data-mess(0.60)
Inform Direct by Bright,1160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.80,1.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,aml(1.00)|defensible-files(0.80)|docs(0.60)
Informanagement UK,1460,0.60,0.00,0.00,0.00,0.70,0.00,0.00,0.30,0.80,0.60,0.00,0.00,0.60,0.30,0.60,0.70,0.80,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,docs(0.80)|winning(0.80)|margin(0.70)
Initor Global UK,1644,0.00,0.00,0.70,0.00,0.60,0.80,0.30,0.80,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|hiring(0.80)|burnout(0.80)
Instant CPD Limited,1131,0.00,0.00,0.00,0.00,0.00,0.20,0.60,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,1.00,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cpd(1.00)|retention(0.60)|ai-skills(0.60)
Institute of Accountants and Bookkeepers,275,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.80,0.80,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,aml(1.00)|cpd(0.80)|career(0.80)
Institute of Financial Accountants,484,0.00,0.00,0.30,0.30,0.30,0.20,0.20,0.10,0.00,0.00,0.20,0.80,0.00,0.00,0.20,0.20,0.10,0.00,0.00,0.30,0.20,0.00,0.00,0.30,0.00,0.00,0.00,0.70,0.60,0.40,0.00,0.00,0.00,0.00,0.10,0.20,0.20,aml(0.80)|cpd(0.70)|career(0.60)
Intuit QuickBooks,1580,0.70,0.60,0.80,0.30,0.40,0.20,0.00,0.50,0.60,0.50,0.40,0.20,0.70,0.60,0.20,0.00,0.20,0.40,0.30,0.30,0.10,0.40,0.20,0.30,0.50,0.60,0.50,0.10,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.20,0.10,mtd-volume(0.80)|ai-start(0.70)|disconnected(0.70)
iplicit Accounting Software,1520,0.60,0.80,0.60,0.30,0.60,0.30,0.40,0.70,0.70,0.40,0.50,0.00,0.70,0.60,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.20,0.00,0.40,0.70,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ai-data-mess(0.80)|burnout(0.70)|docs(0.70)
IRIS,1184,0.60,0.70,0.80,0.30,0.20,0.00,0.00,0.40,0.80,0.50,0.70,0.30,0.80,0.40,0.20,0.00,0.00,0.30,0.80,0.50,0.30,0.40,0.20,0.20,0.40,0.60,0.50,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.30,mtd-volume(0.80)|docs(0.80)|disconnected(0.80)
JLN US Global Limited BEYOND BORDERS,1402,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.80,0.00,outsource(1.00)|cross-border(0.80)|burnout(0.60)
Just Audit & Assurance,1511,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,defensible-files(0.30)|frs102(0.30)|niche(0.30)
Kaleidoscope,1561,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,cashflow(0.80)|advisory(0.60)|advisory-charge(0.60)
Kaplan,260,0.00,0.00,0.00,0.30,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.60,0.00,0.00,0.00,0.80,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,cpd(0.80)|hiring(0.60)|ai-skills(0.60)
Karbon,930,0.60,0.70,0.30,0.20,0.60,0.00,0.30,0.50,1.00,0.70,0.80,0.30,0.80,0.60,0.60,0.70,0.70,0.40,0.30,0.20,0.00,0.60,0.30,0.00,0.70,0.30,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,docs(1.00)|defensible-files(0.80)|disconnected(0.80)
KHI Partners UK Limited,474,0.00,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.40,0.30,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.40,0.30,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.60)|cashflow(0.50)|advisory(0.40)
Landlord Studio - Free MTD Software for Landlords,1724,0.30,0.60,0.80,0.70,0.20,0.00,0.00,0.40,0.50,0.60,0.50,0.00,0.20,0.30,0.00,0.00,0.00,0.20,0.30,0.60,0.00,0.50,0.10,0.00,0.40,0.00,0.60,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.80)|mtd-clients(0.70)|ai-data-mess(0.60)
LBK Insolvency Solutions Limited,574,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.00,0.00,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,advisory(0.60)|advisory-charge(0.60)|docs(0.30)
Lightyear,950,0.60,0.80,0.00,0.00,0.60,0.30,0.30,0.70,0.70,0.30,0.60,0.00,0.30,0.80,0.00,0.00,0.00,0.50,0.30,0.00,0.00,0.00,0.40,0.20,0.00,0.30,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.20,0.00,ai-data-mess(0.80)|ai-roi(0.80)|burnout(0.70)
LimeBooks,1181,0.00,0.60,1.00,0.30,0.30,0.00,0.00,0.60,0.60,0.30,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(1.00)|ai-data-mess(0.60)|burnout(0.60)
Lockton,264,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,aml(0.30)|cyber(0.30)
London School of Business & Finance,355,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,1.00,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cpd(1.00)|career(0.80)|leadership(0.80)
Maple Hill Outsourcing Services,1302,0.00,0.00,0.60,0.30,0.60,0.70,0.30,0.70,0.00,0.40,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.40,0.50,0.00,0.30,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|hiring(0.70)|burnout(0.70)
MEL,788,0.60,0.00,0.00,0.00,0.80,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.70,0.80,1.00,1.00,0.60,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,advisory-charge(1.00)|winning(1.00)|margin(0.80)
Mercia,1440,0.00,0.00,0.00,0.30,0.60,0.30,0.40,0.20,0.00,0.00,0.00,1.00,0.00,0.00,0.40,0.30,0.80,0.00,0.00,0.30,0.60,0.00,0.00,0.40,0.00,0.00,0.00,1.00,0.60,0.80,0.00,0.00,0.00,0.00,0.30,0.00,0.00,aml(1.00)|cpd(1.00)|winning(0.80)
Mimo,1660,0.00,0.00,0.30,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,month-end(0.80)|margin(0.60)|mtd-volume(0.30)
Mindspace Outsourcing Limited,1414,0.30,0.20,0.70,0.30,0.60,0.80,0.20,0.70,0.20,0.40,0.50,0.30,0.40,0.20,0.20,0.20,0.00,0.10,0.40,0.30,0.20,0.10,0.10,0.10,0.30,0.40,0.20,0.00,0.00,0.00,0.20,0.00,0.00,1.00,0.00,0.20,0.00,outsource(1.00)|hiring(0.80)|mtd-volume(0.70)
Modulr Finance Limited,1081,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.30,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.20,0.60,0.70,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.40,0.00,cashflow(0.80)|bankfeeds(0.70)|month-end(0.60)
Moneypenny,1975,0.30,0.00,0.00,0.00,0.60,0.80,0.30,0.80,0.00,0.60,0.00,0.00,0.00,0.30,0.60,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|hiring(0.80)|burnout(0.80)
Moss,1720,0.30,0.60,0.00,0.00,0.50,0.00,0.00,0.40,0.50,0.60,0.40,0.00,0.60,0.50,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.40,0.30,0.00,0.30,0.50,0.40,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.30,0.00,ai-data-mess(0.60)|chasing(0.60)|disconnected(0.60)
My Digital,1555,0.60,0.70,0.30,0.00,0.80,0.70,0.30,0.70,0.40,0.00,0.30,0.00,0.40,0.60,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.20,0.00,margin(0.80)|outsource(0.80)|ai-data-mess(0.70)
MyWorkpapers by Bright,1160,0.00,0.00,0.20,0.00,0.30,0.00,0.00,0.30,0.60,0.00,0.80,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.80,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,defensible-files(0.80)|frs102(0.80)|docs(0.60)
NatWest,384,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.20,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.40,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.30,0.00,cashflow(0.70)|chasing(0.60)|bankfeeds(0.40)
Nest Corporation,1540,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,bankfeeds(0.30)|portal(0.20)|cashflow(0.20)
nettTracker,1674,0.30,0.00,0.00,0.00,0.60,0.00,0.30,0.70,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.30,0.00,0.00,0.80,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,month-end(1.00)|frs102(0.80)|burnout(0.70)
Nomi,1010,0.00,0.00,0.80,0.30,0.30,0.00,0.00,0.20,0.00,0.30,0.20,0.80,0.80,0.00,0.00,0.30,0.30,0.00,0.20,0.60,0.00,0.30,0.00,0.00,0.40,0.60,0.30,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.80)|aml(0.80)|disconnected(0.80)
